,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
159,1506412,buy:frog-lamp,scheduled,Frog Lamp/,,,,/search/furniture/?buyPageVariant1=true&q=frog+lamp,/furniture/lighting/table-lamps/,Dynamic buy pages endpoint,SUCCESS,
160,1508462,buy:encyclopedias,scheduled,Encyclopedias,,,,/search/?buyPageVariant1=true&q=encyclopedias,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""encyclopedias"", ""normalized"": ""encyclopedias"", ""latinised"": ""encyclopedias""}}}"
161,1514862,buy:celia-birtwelll,scheduled,Celia Birtwelll ,,,,/search/fashion/?buyPageVariant1=true&q=celia+birtwelll,/creators/ossie-clark/fashion/,Dynamic buy pages endpoint,SUCCESS,
162,1455982,buy:champagne-glasses,live,Champagne Glasses,,,,/search/?buyPageVariant1=true&q=champagne+glasses,/furniture/dining-entertaining/,Generated using custom generation script,SUCCESS,
163,1472622,buy:coat-trees,live,Coat Trees,,,,/search/?buyPageVariant1=true&q=coat+trees,/furniture/more-furniture-collectibles/racks-stands/coat-racks-stands/,Generated using custom generation script,SUCCESS,
164,1454192,buy:confit-pots,live,Confit Pots,,,,/search/?q=confit%20pots&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""SpellcheckError"", ""message"": ""Spellcheck for provided search term failed."", ""suggestion"": ""confit pot""}}"
165,1455472,buy:bath-vanities,live,Bath Vanities,,,,/search/furniture/?buyPageVariant1=true&q=bath+vanities,/furniture/,Generated using custom generation script,SUCCESS,
166,1474672,buy:tile-wall-arts,live,Tile Wall Arts,,,,/search/furniture/?buyPageVariant1=true&q=tile+wall+arts,/furniture/wall-decorations/decorative-art/,Generated using custom generation script,SUCCESS,
167,1506672,buy:cable-ring,scheduled,Cable Ring/,,,,/search/?buyPageVariant1=true&q=cable+ring,/jewelry/rings/,Dynamic buy pages endpoint,SUCCESS,
168,1513842,buy:quan-yin,scheduled,Quan Yin,,,,/search/?buyPageVariant1=true&q=quan+yin,/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-luigi-buyer-services-705204976.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=quan%20yin,SUCCESS,
169,1456242,buy:pop-art-super-heros,live,Pop Art Super Heros,,,,/search/art/?buyPageVariant1=true&q=pop+art+super+heros,/art/style/pop-art/,Generated using custom generation script,SUCCESS,
170,588402,buy:tropical-floral-dress,scheduled,,,,,/search/fashion/?buyPageVariant1=true&q=tropical+floral+dress,/fashion/clothing/day-dresses/,,SUCCESS,
171,1506932,buy:horse-head,scheduled,Horse Head,,,,/search/?buyPageVariant1=true&q=horse+head,/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=horse%20head,SUCCESS,
172,1453942,buy:szor-collections,live,Szor Collections,,,,/search/?q=szor%20collections,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
173,1455222,buy:shot-glass,live,Shot Glass,,,,/search/?buyPageVariant1=true&q=shot+glass,/furniture/dining-entertaining/,Generated using custom generation script,SUCCESS,
174,1469302,buy:derriere-le-miroir,live,Derriere Le Miroir,,,,/search/?buyPageVariant1=true&q=derriere+le+miroir,/art/,Generated using custom generation script,SUCCESS,
